nome_popular;nome_cientifico;nome_ingles;
arapaçu-ferrugem;Dendroplex kienerii;Zimmer's Woodcreeper;
arapaçu-galinha-da-guiana;Dendrexetastes rufigula;Cinnamon-throated Woodcreeper;
arapaçu-galinha-do-pará;Dendrexetastes paraensis;Para Woodcreeper;
arapaçu-galinha-ocidental;Dendrexetastes devillei;Deville's Woodcreeper;
arapaçu-grande;Dendrocolaptes platyrostris;Planalto Woodcreeper;
arapaçu-liso;Dendrocincla turdina;Plain-winged Woodcreeper;
arapaçu-listrado;Lepidocolaptes souleyetii;Streak-headed Woodcreeper;
arapaçu-marrom;Dendrocolaptes hoffmannsi;Hoffmanns's Woodcreeper;
arapaçu-meio-barrado;Dendrocolaptes picumnus;Black-banded Woodcreeper;
arapaçu-meio-barrado-do-xingu;Dendrocolaptes transfasciatus;Santarem Woodcreeper;
arapaçu-ocelado;Xiphorhynchus ocellatus;Ocellated Woodcreeper;
arapaçu-ocelado-do-norte;Xiphorhynchus beauperthuysii;Northern Ocellated Woodcreeper;
arapaçu-pardo;Dendrocincla fuliginosa;Plain-brown Woodcreeper;
arapaçu-pardo-de-mato-grosso;Dendrocincla atrirostris;d'Orbigny’s Woodcreeper;
arapaçu-pardo-do-nordeste;Dendrocincla taunayi;Pernambuco Woodcreeper;
arapaçu-platino;Drymornis bridgesii;Scimitar-billed Woodcreeper;
arapaçu-rabudo;Deconychura longicauda;Long-tailed Woodcreeper;
arapaçu-rajado;Xiphorhynchus fuscus;Lesser Woodcreeper;
arapaçu-rajado-do-nordeste;Xiphorhynchus atlanticus;Ceara Woodcreeper;
arapaçu-riscado;Xiphorhynchus obsoletus;Striped Woodcreeper;
arapaçu-uniforme;Hylexetastes uniformis;Uniform Woodcreeper;
arapaçu-verde;Sittasomus griseicapillus;Olivaceous Woodcreeper;
arapaçu-vermelho;Xiphocolaptes promeropirhynchus;Strong-billed Woodcreeper;
arapapá;Cochlearius cochlearius;Boat-billed Heron;
araponga;Procnias nudicollis;Bare-throated Bellbird;
araponga-da-amazônia;Procnias albus;White Bellbird;
araponga-do-horto;Oxyruncus cristatus;Sharpbill;
araponga-do-nordeste;Procnias averano;Bearded Bellbird;
arara-azul;Anodorhynchus hyacinthinus;Hyacinth Macaw;
arara-azul-de-lear;Anodorhynchus leari;Indigo Macaw;
arara-azul-pequena;Anodorhynchus glaucus;Glaucous Macaw;
arara-canindé;Ara ararauna;Blue-and-yellow Macaw;
arara-vermelha;Ara chloropterus;Red-and-green Macaw;
araracanga;Ara macao;Scarlet Macaw;
